blockNumber,blockTimestamp,timestamp,provider,first
11302279,1605972374,1605972400.38198,infura,True
11302280,1605972395,1605972402.40257,chainStack,True
11302280,1605972395,1605972404.19095,infura,False
11302280,1605972395,1605972405.54789,quickNode,False
11302280,1605972395,1605972406.39118,alchemy,False
11302281,1605972402,1605972421.66522,chainStack,True
11302281,1605972402,1605972422.28531,infura,False
11302281,1605972402,1605972424.39787,quickNode,False
11302281,1605972402,1605972425.55082,alchemy,False
11302282,1605972421,1605972433.39538,chainStack,True
11302282,1605972421,1605972434.82578,infura,False
11302282,1605972421,1605972436.21717,quickNode,False
11302282,1605972421,1605972436.60344,alchemy,False
11302283,1605972433,1605972465.87967,chainStack,True
11302283,1605972433,1605972467.43375,infura,False
11302283,1605972433,1605972468.79511,quickNode,False
11302283,1605972433,1605972469.87094,alchemy,False
11302284,1605972465,1605972503.45434,chainStack,True
11302284,1605972465,1605972504.68729,infura,False
11302285,1605972502,1605972505.2166,chainStack,True
11302284,1605972465,1605972505.95026,quickNode,False
11302284,1605972465,1605972507.01198,alchemy,False
11302285,1605972502,1605972508.00518,infura,False
11302285,1605972502,1605972510.75458,quickNode,False
11302285,1605972502,1605972510.91218,alchemy,False
11302286,1605972504,1605972542.35086,chainStack,True
11302286,1605972504,1605972543.26373,infura,False
11302286,1605972504,1605972545.2703,quickNode,False
11302286,1605972504,1605972545.73434,alchemy,False
11302287,1605972541,1605972550.42453,chainStack,True
11302287,1605972541,1605972550.92526,quickNode,False
11302287,1605972541,1605972552.43676,infura,False
11302287,1605972541,1605972553.96823,chainStack,False
11302287,1605972541,1605972554.27207,alchemy,False
11302288,1605972550,1605972560.10472,chainStack,True
11302288,1605972550,1605972563.40927,infura,False
11302288,1605972550,1605972564.17944,alchemy,False
11302289,1605972558,1605972618.17689,chainStack,True
11302289,1605972558,1605972619.71441,infura,False
11302289,1605972558,1605972622.19935,alchemy,False
11302290,1605972617,1605972638.45237,chainStack,True
11302290,1605972617,1605972641.81306,infura,False
11302290,1605972617,1605972642.20671,alchemy,False
11302291,1605972637,1605972652.33892,chainStack,True
11302291,1605972637,1605972653.68687,infura,False
11302291,1605972637,1605972655.42305,alchemy,False
11302292,1605972651,1605972656.72718,chainStack,True
11302292,1605972651,1605972658.52365,infura,False
11302292,1605972651,1605972660.51693,alchemy,False
11302293,1605972657,1605972663.32949,chainStack,True
11302293,1605972657,1605972664.14649,infura,False
11302293,1605972657,1605972669.92821,alchemy,False
11302294,1605972663,1605972723.42763,chainStack,True
11302294,1605972663,1605972724.63321,infura,False
11302294,1605972663,1605972727.79989,alchemy,False
11302295,1605972722,1605972737.42779,chainStack,True
11302295,1605972722,1605972738.68448,infura,False
11302296,1605972735,1605972739.23928,infura,True
11302296,1605972735,1605972739.59639,chainStack,False
11302295,1605972722,1605972740.63577,alchemy,False
11302297,1605972737,1605972741.32516,chainStack,True
11302297,1605972737,1605972742.74622,infura,False
11302296,1605972735,1605972743.00822,alchemy,False
11302297,1605972737,1605972745.18974,alchemy,False
11302298,1605972740,1605972761.49551,chainStack,True
11302299,1605972760,1605972762.23014,chainStack,True
11302300,1605972762,1605972764.54623,chainStack,True
11302298,1605972740,1605972765.00323,alchemy,False
11302298,1605972740,1605972765.15498,infura,False
11302299,1605972760,1605972765.81024,infura,False
11302300,1605972762,1605972766.40134,infura,False
11302299,1605972760,1605972767.3251,alchemy,False
11302300,1605972762,1605972769.48338,alchemy,False
11302301,1605972764,1605972791.67312,chainStack,True
11302301,1605972764,1605972792.90699,infura,False
11302301,1605972764,1605972795.30381,alchemy,False
11302302,1605972790,1605972796.5826,chainStack,True
11302302,1605972790,1605972798.23048,infura,False
11302303,1605972796,1605972799.95439,chainStack,True
11302302,1605972790,1605972800.48528,alchemy,False
11302303,1605972796,1605972804.19335,infura,False
11302303,1605972796,1605972804.73328,alchemy,False
11302304,1605972799,1605972817.04484,chainStack,True
11302304,1605972799,1605972818.03296,infura,False
11302304,1605972799,1605972819.77902,alchemy,False
11302305,1605972816,1605972841.32106,chainStack,True
11302305,1605972816,1605972843.16273,infura,False
11302305,1605972816,1605972844.99521,alchemy,False
11302306,1605972841,1605972860.99922,chainStack,True
11302306,1605972841,1605972862.63945,infura,False
11302306,1605972841,1605972864.66347,alchemy,False
11302307,1605972860,1605972885.68042,chainStack,True
11302307,1605972860,1605972886.84216,infura,False
11302307,1605972860,1605972889.48076,alchemy,False
11302308,1605972885,1605972895.08264,chainStack,True
11302308,1605972885,1605972896.9694,infura,False
11302308,1605972885,1605972899.43714,alchemy,False
11302309,1605972894,1605972923.56792,chainStack,True
11302309,1605972894,1605972924.23242,infura,False
11302309,1605972894,1605972927.32638,alchemy,False
11302310,1605972922,1605972959.41093,chainStack,True
11302310,1605972922,1605972960.20693,infura,False
11302310,1605972922,1605972962.59521,alchemy,False
11302311,1605972958,1605972967.02172,chainStack,True
11302311,1605972958,1605972968.85637,infura,False
11302311,1605972958,1605972971.6044,alchemy,False
11302312,1605972966,1605972972.76691,chainStack,True
11302313,1605972972,1605972973.9112,chainStack,True
11302312,1605972966,1605972974.29245,infura,False
11302313,1605972972,1605972974.34081,infura,False
11302313,1605972972,1605972976.95059,alchemy,False
11302314,1605972973,1605972977.11764,chainStack,True
11302314,1605972973,1605972978.77451,infura,False
11302314,1605972973,1605972982.14905,alchemy,False
11302315,1605972976,1605972987.6066,chainStack,True
11302315,1605972976,1605972988.7998,infura,False
11302316,1605972987,1605972990.86868,chainStack,True
11302316,1605972987,1605972992.17588,infura,False
11302315,1605972976,1605972992.46471,alchemy,False
11302316,1605972987,1605972996.83705,alchemy,False
11302317,1605972990,1605973003.42871,chainStack,True
11302317,1605972990,1605973004.17975,infura,False
11302318,1605973002,1605973006.58174,chainStack,True
11302317,1605972990,1605973006.72642,alchemy,False
11302318,1605973002,1605973010.42515,infura,False
11302318,1605973002,1605973011.68305,alchemy,False
11302319,1605973006,1605973029.10197,chainStack,True
11302319,1605973006,1605973030.07466,infura,False
11302319,1605973006,1605973032.82291,alchemy,False
11302320,1605973028,1605973033.80871,chainStack,True
11302320,1605973028,1605973035.16618,infura,False
11302320,1605973028,1605973037.53296,alchemy,False
11302321,1605973033,1605973066.24343,chainStack,True
11302321,1605973033,1605973067.37218,infura,False
11302322,1605973065,1605973068.54684,chainStack,True
11302321,1605973033,1605973069.7824,alchemy,False
11302322,1605973065,1605973070.74904,infura,False
11302322,1605973065,1605973073.81166,alchemy,False
11302323,1605973068,1605973084.79509,chainStack,True
11302323,1605973068,1605973086.04724,infura,False
11302323,1605973068,1605973088.57235,alchemy,False
11302324,1605973084,1605973158.20238,chainStack,True
11302324,1605973084,1605973158.63764,infura,False
11302324,1605973084,1605973160.88562,alchemy,False
11302330,1605973216,1605973245.1500485,chainStack,True
11302330,1605973216,1605973247.188893,infura,False
11302331,1605973244,1605973248.30732,chainStack,True
11302330,1605973216,1605973249.0356057,quickNode,False
11302330,1605973216,1605973249.2568274,alchemy,False
11302331,1605973244,1605973250.3354845,infura,False
11302331,1605973244,1605973252.0484097,quickNode,False
11302331,1605973244,1605973252.7846863,alchemy,False
11302332,1605973248,1605973260.6574974,chainStack,True
11302332,1605973248,1605973261.5625687,quickNode,False
11302332,1605973248,1605973264.1614597,alchemy,False
11302333,1605973259,1605973280.3496518,chainStack,True
11302332,1605973248,1605973281.4684353,infura,False
11302333,1605973259,1605973282.2273962,infura,False
11302333,1605973259,1605973283.8120847,quickNode,False
11302333,1605973259,1605973284.899461,alchemy,False
11302334,1605973279,1605973285.2058923,chainStack,True
11302334,1605973279,1605973287.516744,infura,False
11302334,1605973279,1605973288.5156896,quickNode,False
11302335,1605973285,1605973289.2234716,chainStack,True
11302334,1605973279,1605973290.1447792,alchemy,False
11302336,1605973288,1605973292.3053663,chainStack,True
11302335,1605973285,1605973292.677282,quickNode,False
11302335,1605973285,1605973294.22802,infura,False
11302335,1605973285,1605973294.3636227,alchemy,False
11302336,1605973288,1605973294.5863366,infura,False
11302336,1605973288,1605973296.172109,alchemy,False
11302336,1605973288,1605973298.3135338,quickNode,False
11302337,1605973291,1605973305.9482114,chainStack,True
11302337,1605973291,1605973307.1921182,quickNode,False
11302338,1605973305,1605973307.237045,chainStack,True
11302337,1605973291,1605973308.9701486,infura,False
11302338,1605973305,1605973309.5183063,infura,False
11302337,1605973291,1605973310.1756697,alchemy,False
